epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.695,1.49297,1.84428,1.40385,0.70368,0.47339,0.50369,0.25971,1.46079,1.41939,1.36813,0.00332983,0.00332983,0.00332983
2,493.651,1.50701,1.53004,1.41161,0.66096,0.44849,0.47343,0.24358,1.5934,1.47199,1.50177,0.00653123,0.00653123,0.00653123
3,725.348,1.58854,1.5602,1.48252,0.60283,0.41672,0.42205,0.19721,1.79745,1.75752,1.65466,0.00960063,0.00960063,0.00960063
4,956.269,1.61924,1.55647,1.51013,0.63811,0.42632,0.45215,0.2152,1.81066,1.73194,1.68087,0.009406,0.009406,0.009406
5,1217.34,1.56086,1.49095,1.48386,0.68224,0.44995,0.47128,0.24488,1.67533,1.51621,1.61192,0.009208,0.009208,0.009208
6,1477.04,1.49716,1.4117,1.44336,0.70477,0.4725,0.50419,0.27219,1.65416,1.41812,1.58036,0.00901,0.00901,0.00901
