epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5830.2,1.13667,0.91083,1.13616,0.81776,0.4917,0.55167,0.35651,1.38508,1.0402,1.23586,0.00307,0.00307,0.00307
44,5967.49,1.13849,0.90326,1.13068,0.81584,0.49803,0.55389,0.35919,1.38341,1.0372,1.23565,0.002905,0.002905,0.002905
45,6103.92,1.12312,0.89331,1.12893,0.8095,0.49784,0.55642,0.36055,1.38436,1.03173,1.23671,0.00274,0.00274,0.00274
46,6240.24,1.11563,0.88729,1.12722,0.81718,0.49624,0.55691,0.36165,1.38463,1.03905,1.23992,0.002575,0.002575,0.002575
47,6376.41,1.11215,0.88147,1.12543,0.80919,0.49897,0.55798,0.36286,1.38663,1.03969,1.23888,0.00241,0.00241,0.00241
48,6512.72,1.1028,0.87659,1.11777,0.8058,0.49981,0.55773,0.36307,1.39273,1.04001,1.24193,0.002245,0.002245,0.002245
49,6649.11,1.09978,0.87054,1.11794,0.81098,0.50272,0.55942,0.36389,1.39097,1.03088,1.24191,0.00208,0.00208,0.00208
50,6785.33,1.08797,0.85751,1.11027,0.81108,0.50047,0.55858,0.3627,1.39551,1.03309,1.24482,0.001915,0.001915,0.001915
51,6950.64,1.01053,0.74581,1.08329,0.80745,0.50263,0.55949,0.36325,1.39526,1.03101,1.2447,0.00175,0.00175,0.00175
52,7084.73,0.9895,0.72769,1.07438,0.80731,0.49869,0.55853,0.3639,1.39314,1.03595,1.24542,0.001585,0.001585,0.001585
53,7218.51,0.98598,0.71816,1.06862,0.81264,0.49718,0.55796,0.3634,1.39286,1.03985,1.24535,0.00142,0.00142,0.00142
54,7359.01,0.97007,0.70143,1.06234,0.81542,0.49465,0.55704,0.36343,1.39268,1.04349,1.24504,0.001255,0.001255,0.001255
55,7518.93,0.96718,0.70328,1.06173,0.82612,0.49071,0.55632,0.36449,1.39243,1.04485,1.24631,0.00109,0.00109,0.00109
56,7679.05,0.95096,0.68235,1.05166,0.82406,0.49117,0.55613,0.36457,1.39375,1.05172,1.24746,0.000925,0.000925,0.000925
57,7813.32,0.93915,0.67069,1.04806,0.81672,0.49305,0.55595,0.3653,1.39417,1.05373,1.24772,0.00076,0.00076,0.00076
58,7939.81,0.93303,0.66527,1.04407,0.81629,0.49437,0.55709,0.36609,1.39466,1.05469,1.24874,0.000595,0.000595,0.000595
59,8062.12,0.92644,0.65989,1.03902,0.81722,0.49455,0.55765,0.36686,1.39529,1.05661,1.24919,0.00043,0.00043,0.00043
60,8188.99,0.92081,0.65331,1.03761,0.81949,0.49427,0.55762,0.36693,1.39594,1.05848,1.24957,0.000265,0.000265,0.000265
